OrderDate,Year,Quarter,Month,Week,Day,FiscalYear,FiscalQuarter,FiscalMonth,FiscalWeek,FiscalDay,OrderDate_SK
,,,,,,,,,,,1
2004-12-02,2004,4,12,49,2,2005,3,9,61,2,2
2004-12-04,2004,4,12,49,4,2005,3,9,61,4,3
2004-12-05,2004,4,12,50,5,2005,3,9,62,5,4
2004-12-06,2004,4,12,50,6,2005,3,9,62,6,5
2004-12-07,2004,4,12,50,7,2005,3,9,62,7,6
2004-12-08,2004,4,12,50,8,2005,3,9,62,8,7
2004-12-09,2004,4,12,50,9,2005,3,9,62,9,8
2004-12-10,2004,4,12,50,10,2005,3,9,62,10,9
2004-12-11,2004,4,12,50,11,2005,3,9,62,11,10
2004-12-12,2004,4,12,51,12,2005,3,9,63,12,11
2004-12-13,2004,4,12,51,13,2005,3,9,63,13,12
2004-12-14,2004,4,12,51,14,2005,3,9,63,14,13
2004-12-15,2004,4,12,51,15,2005,3,9,63,15,14
2004-12-16,2004,4,12,51,16,2005,3,9,63,16,15
2004-12-17,2004,4,12,51,17,2005,3,9,63,17,16
2004-12-18,2004,4,12,51,18,2005,3,9,63,18,17
2004-12-19,2004,4,12,52,19,2005,3,9,64,19,18
2004-12-20,2004,4,12,52,20,2005,3,9,64,20,19
2004-12-21,2004,4,12,52,21,2005,3,9,64,21,20
2004-12-22,2004,4,12,52,22,2005,3,9,64,22,21
2004-12-23,2004,4,12,52,23,2005,3,9,64,23,22
2004-12-24,2004,4,12,52,24,2005,3,9,64,24,23
2004-12-25,2004,4,12,52,25,2005,3,9,64,25,24
2004-12-26,2004,4,12,1,26,2005,3,9,41,26,25
2004-12-27,2004,4,12,1,27,2005,3,9,41,27,26
2004-12-28,2004,4,12,1,28,2005,3,9,41,28,27
2004-12-29,2004,4,12,1,29,2005,3,9,41,29,28
2004-12-30,2004,4,12,1,30,2005,3,9,41,30,29
2004-12-31,2004,4,12,1,31,2005,3,9,41,31,30
2005-01-01,2005,1,1,1,1,2005,4,10,41,1,31
2005-01-02,2005,1,1,2,2,2005,4,10,42,2,32
2005-01-03,2005,1,1,2,3,2005,4,10,42,3,33
2005-01-04,2005,1,1,2,4,2005,4,10,42,4,34
2005-01-05,2005,1,1,2,5,2005,4,10,42,5,35
2005-01-06,2005,1,1,2,6,2005,4,10,42,6,36
2005-01-07,2005,1,1,2,7,2005,4,10,42,7,37
2005-01-08,2005,1,1,2,8,2005,4,10,42,8,38
2005-01-09,2005,1,1,3,9,2005,4,10,43,9,39
2005-01-10,2005,1,1,3,10,2005,4,10,43,10,40
2005-01-11,2005,1,1,3,11,2005,4,10,43,11,41
2005-01-12,2005,1,1,3,12,2005,4,10,43,12,42
2005-01-13,2005,1,1,3,13,2005,4,10,43,13,43
2005-01-14,2005,1,1,3,14,2005,4,10,43,14,44
2005-01-15,2005,1,1,3,15,2005,4,10,43,15,45
2005-01-16,2005,1,1,4,16,2005,4,10,44,16,46
2005-01-17,2005,1,1,4,17,2005,4,10,44,17,47
2005-01-18,2005,1,1,4,18,2005,4,10,44,18,48
2005-01-19,2005,1,1,4,19,2005,4,10,44,19,49
2005-01-20,2005,1,1,4,20,2005,4,10,44,20,50
2005-01-21,2005,1,1,4,21,2005,4,10,44,21,51
2005-01-22,2005,1,1,4,22,2005,4,10,44,22,52
2005-01-23,2005,1,1,5,23,2005,4,10,45,23,53
2005-01-24,2005,1,1,5,24,2005,4,10,45,24,54
2005-01-25,2005,1,1,5,25,2005,4,10,45,25,55
2005-01-26,2005,1,1,5,26,2005,4,10,45,26,56
2005-01-27,2005,1,1,5,27,2005,4,10,45,27,57
2005-01-28,2005,1,1,5,28,2005,4,10,45,28,58
2005-01-29,2005,1,1,5,29,2005,4,10,45,29,59
2005-01-30,2005,1,1,6,30,2005,4,10,46,30,60
2005-01-31,2005,1,1,6,31,2005,4,10,46,31,61
2005-02-01,2005,1,2,6,1,2005,4,11,46,1,62
2005-02-02,2005,1,2,6,2,2005,4,11,46,2,63
2005-02-03,2005,1,2,6,3,2005,4,11,46,3,64
2005-02-04,2005,1,2,6,4,2005,4,11,46,4,65
2005-02-05,2005,1,2,6,5,2005,4,11,46,5,66
2005-02-06,2005,1,2,7,6,2005,4,11,47,6,67
2005-02-07,2005,1,2,7,7,2005,4,11,47,7,68
2005-02-08,2005,1,2,7,8,2005,4,11,47,8,69
2005-02-09,2005,1,2,7,9,2005,4,11,47,9,70
2005-02-10,2005,1,2,7,10,2005,4,11,47,10,71
2005-02-11,2005,1,2,7,11,2005,4,11,47,11,72
2005-02-12,2005,1,2,7,12,2005,4,11,47,12,73
2005-02-13,2005,1,2,8,13,2005,4,11,48,13,74
2005-02-14,2005,1,2,8,14,2005,4,11,48,14,75
2005-02-15,2005,1,2,8,15,2005,4,11,48,15,76
2005-02-16,2005,1,2,8,16,2005,4,11,48,16,77
2005-02-17,2005,1,2,8,17,2005,4,11,48,17,78
2005-02-18,2005,1,2,8,18,2005,4,11,48,18,79
2005-02-19,2005,1,2,8,19,2005,4,11,48,19,80
2005-02-20,2005,1,2,9,20,2005,4,11,49,20,81
2005-02-21,2005,1,2,9,21,2005,4,11,49,21,82
2005-02-22,2005,1,2,9,22,2005,4,11,49,22,83
2005-02-23,2005,1,2,9,23,2005,4,11,49,23,84
2005-02-24,2005,1,2,9,24,2005,4,11,49,24,85
2005-02-25,2005,1,2,9,25,2005,4,11,49,25,86
2005-02-26,2005,1,2,9,26,2005,4,11,49,26,87
2005-02-27,2005,1,2,10,27,2005,4,11,50,27,88
2005-02-28,2005,1,2,10,28,2005,4,11,50,28,89
2005-03-01,2005,1,3,10,1,2005,4,12,50,1,90
2005-03-02,2005,1,3,10,2,2005,4,12,50,2,91
2005-03-03,2005,1,3,10,3,2005,4,12,50,3,92
2005-03-04,2005,1,3,10,4,2005,4,12,50,4,93
2005-03-05,2005,1,3,10,5,2005,4,12,50,5,94
2005-03-06,2005,1,3,11,6,2005,4,12,51,6,95
2005-03-07,2005,1,3,11,7,2005,4,12,51,7,96
2005-03-08,2005,1,3,11,8,2005,4,12,51,8,97
2005-03-09,2005,1,3,11,9,2005,4,12,51,9,98
2005-03-10,2005,1,3,11,10,2005,4,12,51,10,99
2005-03-11,2005,1,3,11,11,2005,4,12,51,11,100
2005-03-12,2005,1,3,11,12,2005,4,12,51,12,101
2005-03-13,2005,1,3,12,13,2005,4,12,24,13,102
2005-03-14,2005,1,3,12,14,2005,4,12,24,14,103
2005-03-15,2005,1,3,12,15,2005,4,12,24,15,104
2005-03-16,2005,1,3,12,16,2005,4,12,24,16,105
2005-03-17,2005,1,3,12,17,2005,4,12,24,17,106
2005-03-18,2005,1,3,12,18,2005,4,12,24,18,107
2005-03-19,2005,1,3,12,19,2005,4,12,24,19,108
2005-03-20,2005,1,3,13,20,2005,4,12,25,20,109
2005-03-21,2005,1,3,13,21,2005,4,12,25,21,110
2005-03-22,2005,1,3,13,22,2005,4,12,25,22,111
2005-03-23,2005,1,3,13,23,2005,4,12,25,23,112
2005-03-24,2005,1,3,13,24,2005,4,12,25,24,113
2005-03-25,2005,1,3,13,25,2005,4,12,25,25,114
2005-03-26,2005,1,3,13,26,2005,4,12,25,26,115
2005-03-27,2005,1,3,14,27,2005,4,12,26,27,116
2005-03-28,2005,1,3,14,28,2005,4,12,26,28,117
2005-03-29,2005,1,3,14,29,2005,4,12,26,29,118
2005-03-30,2005,1,3,14,30,2005,4,12,26,30,119
2005-03-31,2005,1,3,14,31,2005,4,12,26,31,120
2005-04-01,2005,2,4,14,1,2006,1,1,26,1,121
2005-04-02,2005,2,4,14,2,2006,1,1,26,2,122
2005-04-03,2005,2,4,15,3,2006,1,1,27,3,123
2005-04-04,2005,2,4,15,4,2006,1,1,27,4,124
2005-04-05,2005,2,4,15,5,2006,1,1,27,5,125
2005-04-06,2005,2,4,15,6,2006,1,1,27,6,126
2005-04-07,2005,2,4,15,7,2006,1,1,27,7,127
2005-04-08,2005,2,4,15,8,2006,1,1,27,8,128
2005-04-09,2005,2,4,15,9,2006,1,1,27,9,129
2005-04-10,2005,2,4,16,10,2006,1,1,28,10,130
2005-04-11,2005,2,4,16,11,2006,1,1,28,11,131
2005-04-12,2005,2,4,16,12,2006,1,1,28,12,132
2005-04-13,2005,2,4,16,13,2006,1,1,28,13,133
2005-04-14,2005,2,4,16,14,2006,1,1,28,14,134
2005-04-15,2005,2,4,16,15,2006,1,1,28,15,135
2005-04-16,2005,2,4,16,16,2006,1,1,28,16,136
2005-04-17,2005,2,4,17,17,2006,1,1,29,17,137
2005-04-18,2005,2,4,17,18,2006,1,1,29,18,138
2005-04-19,2005,2,4,17,19,2006,1,1,29,19,139
2005-04-20,2005,2,4,17,20,2006,1,1,29,20,140
2005-04-21,2005,2,4,17,21,2006,1,1,29,21,141
2005-04-22,2005,2,4,17,22,2006,1,1,29,22,142
2005-04-23,2005,2,4,17,23,2006,1,1,29,23,143
2005-04-24,2005,2,4,18,24,2006,1,1,30,24,144
2005-04-25,2005,2,4,18,25,2006,1,1,30,25,145
2005-04-26,2005,2,4,18,26,2006,1,1,30,26,146
2005-04-27,2005,2,4,18,27,2006,1,1,30,27,147
2005-04-28,2005,2,4,18,28,2006,1,1,30,28,148
2005-04-29,2005,2,4,18,29,2006,1,1,30,29,149
2005-04-30,2005,2,4,18,30,2006,1,1,30,30,150
2005-05-01,2005,2,5,19,1,2006,1,2,31,1,151
2005-05-02,2005,2,5,19,2,2006,1,2,31,2,152
2005-05-03,2005,2,5,19,3,2006,1,2,31,3,153
2005-05-04,2005,2,5,19,4,2006,1,2,31,4,154
2005-05-05,2005,2,5,19,5,2006,1,2,31,5,155
2005-05-06,2005,2,5,19,6,2006,1,2,31,6,156
2005-05-07,2005,2,5,19,7,2006,1,2,31,7,157
2005-05-08,2005,2,5,20,8,2006,1,2,32,8,158
2005-05-09,2005,2,5,20,9,2006,1,2,32,9,159
2005-05-10,2005,2,5,20,10,2006,1,2,32,10,160
2005-05-11,2005,2,5,20,11,2006,1,2,32,11,161
2005-05-12,2005,2,5,20,12,2006,1,2,32,12,162
2005-05-13,2005,2,5,20,13,2006,1,2,32,13,163
2005-05-14,2005,2,5,20,14,2006,1,2,32,14,164
2005-05-15,2005,2,5,21,15,2006,1,2,33,15,165
2005-05-16,2005,2,5,21,16,2006,1,2,33,16,166
2005-05-17,2005,2,5,21,17,2006,1,2,33,17,167
2005-05-18,2005,2,5,21,18,2006,1,2,33,18,168
2005-05-19,2005,2,5,21,19,2006,1,2,33,19,169
2005-05-20,2005,2,5,21,20,2006,1,2,33,20,170
2005-05-21,2005,2,5,21,21,2006,1,2,33,21,171
2005-05-22,2005,2,5,22,22,2006,1,2,34,22,172
2005-05-23,2005,2,5,22,23,2006,1,2,34,23,173
2005-05-24,2005,2,5,22,24,2006,1,2,34,24,174
2005-05-25,2005,2,5,22,25,2006,1,2,34,25,175
2005-05-26,2005,2,5,22,26,2006,1,2,34,26,176
2005-05-27,2005,2,5,22,27,2006,1,2,34,27,177
2005-05-28,2005,2,5,22,28,2006,1,2,34,28,178
2005-05-29,2005,2,5,23,29,2006,1,2,35,29,179
2005-05-30,2005,2,5,23,30,2006,1,2,35,30,180
2005-05-31,2005,2,5,23,31,2006,1,2,35,31,181
2005-06-01,2005,2,6,23,1,2006,1,3,35,1,182
2005-06-02,2005,2,6,23,2,2006,1,3,35,2,183
2005-06-03,2005,2,6,23,3,2006,1,3,35,3,184
2005-06-04,2005,2,6,23,4,2006,1,3,35,4,185
2005-06-05,2005,2,6,24,5,2006,1,3,36,5,186
2005-06-06,2005,2,6,24,6,2006,1,3,36,6,187
2005-06-07,2005,2,6,24,7,2006,1,3,36,7,188
2005-06-08,2005,2,6,24,8,2006,1,3,36,8,189
2005-06-09,2005,2,6,24,9,2006,1,3,36,9,190
2005-06-10,2005,2,6,24,10,2006,1,3,36,10,191
