SalesDate,Year,Quarter,Month,Week,Day,FiscalYear,FiscalQuarter,FiscalMonth,FiscalWeek,FiscalDay,SalesDate_SK
,,,,,,,,,,,1
2005-01-01,2005,1,1,1,1,2005,4,10,41,1,2
2005-01-02,2005,1,1,2,2,2005,4,10,42,2,3
2005-01-03,2005,1,1,2,3,2005,4,10,42,3,4
2005-01-04,2005,1,1,2,4,2005,4,10,42,4,5
2005-01-05,2005,1,1,2,5,2005,4,10,42,5,6
2005-01-06,2005,1,1,2,6,2005,4,10,42,6,7
2005-01-07,2005,1,1,2,7,2005,4,10,42,7,8
2005-01-08,2005,1,1,2,8,2005,4,10,42,8,9
2005-01-09,2005,1,1,3,9,2005,4,10,43,9,10
2005-01-10,2005,1,1,3,10,2005,4,10,43,10,11
2005-01-11,2005,1,1,3,11,2005,4,10,43,11,12
2005-01-12,2005,1,1,3,12,2005,4,10,43,12,13
2005-01-13,2005,1,1,3,13,2005,4,10,43,13,14
2005-01-14,2005,1,1,3,14,2005,4,10,43,14,15
2005-01-15,2005,1,1,3,15,2005,4,10,43,15,16
2005-01-16,2005,1,1,4,16,2005,4,10,44,16,17
2005-01-17,2005,1,1,4,17,2005,4,10,44,17,18
2005-01-18,2005,1,1,4,18,2005,4,10,44,18,19
2005-01-19,2005,1,1,4,19,2005,4,10,44,19,20
2005-01-20,2005,1,1,4,20,2005,4,10,44,20,21
2005-01-21,2005,1,1,4,21,2005,4,10,44,21,22
2005-01-22,2005,1,1,4,22,2005,4,10,44,22,23
2005-01-23,2005,1,1,5,23,2005,4,10,45,23,24
2005-01-24,2005,1,1,5,24,2005,4,10,45,24,25
2005-01-25,2005,1,1,5,25,2005,4,10,45,25,26
2005-01-26,2005,1,1,5,26,2005,4,10,45,26,27
2005-01-27,2005,1,1,5,27,2005,4,10,45,27,28
2005-01-28,2005,1,1,5,28,2005,4,10,45,28,29
2005-01-29,2005,1,1,5,29,2005,4,10,45,29,30
2005-01-30,2005,1,1,6,30,2005,4,10,46,30,31
2005-01-31,2005,1,1,6,31,2005,4,10,46,31,32
2005-02-01,2005,1,2,6,1,2005,4,11,46,1,33
2005-02-02,2005,1,2,6,2,2005,4,11,46,2,34
2005-02-03,2005,1,2,6,3,2005,4,11,46,3,35
2005-02-04,2005,1,2,6,4,2005,4,11,46,4,36
2005-02-05,2005,1,2,6,5,2005,4,11,46,5,37
2005-02-06,2005,1,2,7,6,2005,4,11,47,6,38
2005-02-07,2005,1,2,7,7,2005,4,11,47,7,39
2005-02-08,2005,1,2,7,8,2005,4,11,47,8,40
2005-02-09,2005,1,2,7,9,2005,4,11,47,9,41
2005-02-10,2005,1,2,7,10,2005,4,11,47,10,42
2005-02-11,2005,1,2,7,11,2005,4,11,47,11,43
2005-02-12,2005,1,2,7,12,2005,4,11,47,12,44
2005-02-13,2005,1,2,8,13,2005,4,11,48,13,45
2005-02-14,2005,1,2,8,14,2005,4,11,48,14,46
