InvoiceID;CustID;SalesDate;ProdID;Amt;Qty;ShippingMethod;ShippingCost;PaymentMethod;OrderMethod;OrderDate;discounted;Sales By
1;28;31/12/08;81;151;102;;;;;;0;TPC-W
2;28;31/12/09;7;294;38;;;;;;0;TPC-W
3;10;24/05/07;79;139;189;;;;;;0;TPC-W
4;10;24/05/06;18;189;192;;;;;;0;TPC-W
4;10;24/05/06;39;203;21;;;;;;0;TPC-W
4;10;24/05/06;61;380;95;;;;;;0;TPC-W
5;6;30/06/05;56;138;187;;;;;;0;TPC-W
6;31;03/04/09;68;389;137;;;;;;0;TPC-W
7;6;30/06/06;42;259;112;;;;;;0;TPC-W
8;31;03/04/06;11;122;57;;;;;;0;TPC-W
8;31;03/04/06;101;209;102;;;;;;0;TPC-W
9;17;26/06/10;3;241;121;;;;;;0;TPC-W
9;17;26/06/10;91;317;127;;;;;;0;TPC-W
10;28;31/12/05;2;102;63;;;;;;0;TPC-W
10;28;31/12/05;96;291;188;;;;;;0;TPC-W
10;28;31/12/05;91;139;41;;;;;;0;TPC-W
10;28;31/12/05;16;163;115;;;;;;0;TPC-W
11;23;07/06/07;104;142;157;;;;;;0;TPC-W
12;31;03/07/10;74;286;111;;;;;;0;TPC-W
13;40;13/03/06;63;256;65;;;;;;0;TPC-W
14;40;13/03/07;47;215;54;;;;;;0;TPC-W
14;40;13/03/07;86;333;113;;;;;;0;TPC-W
15;25;20/05/05;90;190;21;;;;;;0;TPC-W
16;25;20/05/06;65;372;182;;;;;;0;TPC-W
17;25;20/05/08;101;244;152;;;;;;0;TPC-W
17;25;20/05/08;16;288;167;;;;;;0;TPC-W
18;34;13/05/10;1;323;117;;;;;;0;TPC-W
18;34;13/05/10;17;311;42;;;;;;0;TPC-W
19;36;20/01/09;36;220;126;;;;;;1;TPC-W
20;36;20/01/08;34;212;21;;;;;;1;TPC-W
20;36;20/01/08;65;157;52;;;;;;0;TPC-W
21;19;27/02/09;29;337;17;;;;;;0;TPC-W
21;19;27/02/09;46;226;191;;;;;;0;TPC-W
21;19;27/02/09;77;127;10;;;;;;0;TPC-W
22;20;19/09/09;40;161;145;;;;;;1;TPC-W
22;20;19/09/09;13;318;71;;;;;;1;TPC-W
23;4;15/05/05;56;168;195;;;;;;0;TPC-W
23;4;15/05/05;23;219;187;;;;;;0;TPC-W
25;25;09/05/10;7;317;17;;;;;;0;TPC-W
25;25;09/05/10;54;301;23;;;;;;0;TPC-W
25;25;09/05/10;17;139;200;;;;;;0;TPC-W
26;19;29/10/10;90;285;139;;;;;;0;TPC-W
26;19;29/10/10;29;194;173;;;;;;0;TPC-W
26;19;29/10/10;52;328;29;;;;;;0;TPC-W
27;36;20/01/06;64;190;157;;;;;;0;TPC-W
28;24;07/09/07;105;200;152;;;;;;0;TPC-W
29;36;23/05/05;36;331;196;;;;;;0;TPC-W
30;21;18/10/07;104;349;110;;;;;;0;TPC-W
30;21;18/10/07;94;319;35;;;;;;0;TPC-W
31;21;18/10/05;46;144;112;;;;;;1;TPC-W
32;20;19/04/09;5;384;14;;;;;;0;TPC-W
33;21;18/10/08;72;113;156;;;;;;0;TPC-W
34;21;18/10/09;9;392;177;;;;;;0;TPC-W
34;21;18/10/09;18;183;106;;;;;;0;TPC-W
35;20;19/04/08;104;367;176;;;;;;0;TPC-W
36;33;07/02/08;35;266;178;;;;;;0;TPC-W
37;24;17/02/10;7;180;179;;;;;;0;TPC-W
37;24;17/02/10;4;148;156;;;;;;0;TPC-W
38;12;25/01/10;71;172;154;;;;;;0;TPC-W
38;12;25/01/10;29;329;57;;;;;;0;TPC-W
38;12;25/01/10;34;136;69;;;;;;0;TPC-W
39;9;01/03/10;59;341;85;;;;;;0;TPC-W
40;8;07/03/10;66;323;49;;;;;;0;TPC-W
40;8;07/03/10;69;267;81;;;;;;0;TPC-W
41;18;14/11/05;35;222;191;;;;;;1;TPC-W
41;18;14/11/05;97;225;63;;;;;;1;TPC-W
42;8;26/12/06;18;112;200;;;;;;0;TPC-W
43;18;14/11/07;18;319;165;;;;;;0;TPC-W
43;18;14/11/07;73;178;147;;;;;;0;TPC-W
44;10;24/05/08;24;350;101;;;;;;0;TPC-W
44;10;24/05/08;69;213;94;;;;;;0;TPC-W
45;11;19/08/05;93;344;61;;;;;;0;TPC-W
45;11;19/08/05;58;320;23;;;;;;0;TPC-W
46;26;12/04/07;63;158;133;;;;;;0;TPC-W
46;26;12/04/07;70;327;98;;;;;;0;TPC-W
46;26;12/04/07;10;116;60;;;;;;0;TPC-W
47;37;26/08/09;19;284;165;;;;;;0;TPC-W
47;37;26/08/09;49;239;125;;;;;;0;TPC-W
47;37;26/08/09;13;326;14;;;;;;0;TPC-W
47;37;26/08/09;71;124;171;;;;;;0;TPC-W
48;23;15/05/08;43;377;14;;;;;;0;TPC-W
48;23;15/05/08;40;282;151;;;;;;0;TPC-W
49;21;08/01/05;91;210;40;;;;;;0;TPC-W
49;21;08/01/05;12;332;12;;;;;;0;TPC-W
50;21;08/01/07;72;271;31;;;;;;0;TPC-W
51;21;08/01/06;8;244;190;;;;;;0;TPC-W
51;21;08/01/06;80;147;151;;;;;;0;TPC-W
52;34;14/06/10;64;199;135;;;;;;0;TPC-W
53;21;08/01/08;105;248;187;;;;;;0;TPC-W
54;28;31/12/07;12;329;10;;;;;;0;TPC-W
55;23;15/05/07;102;172;20;;;;;;0;TPC-W
56;11;19/08/08;17;323;182;;;;;;0;TPC-W
57;37;26/08/05;5;263;136;;;;;;0;TPC-W
57;37;26/08/05;24;370;75;;;;;;0;TPC-W
57;37;26/08/05;96;295;120;;;;;;0;TPC-W
58;3;08/01/07;41;394;117;;;;;;0;TPC-W
59;12;04/03/07;105;364;121;;;;;;0;TPC-W
60;34;07/04/10;44;132;38;;;;;;0;TPC-W
61;10;08/07/10;45;211;172;;;;;;0;TPC-W
61;10;08/07/10;15;226;64;;;;;;0;TPC-W
61;10;08/07/10;93;223;111;;;;;;0;TPC-W
61;10;08/07/10;51;397;141;;;;;;0;TPC-W
62;25;14/06/07;66;319;189;;;;;;0;TPC-W
63;25;14/06/06;81;243;131;;;;;;0;TPC-W
64;34;25/05/10;49;342;133;;;;;;0;TPC-W
64;34;25/05/10;63;199;169;;;;;;0;TPC-W
64;34;25/05/10;43;230;155;;;;;;0;TPC-W
64;34;25/05/10;38;333;183;;;;;;0;TPC-W
65;5;15/09/10;7;259;53;;;;;;0;TPC-W
66;33;07/02/06;30;383;167;;;;;;0;TPC-W
67;15;04/10/06;63;190;79;;;;;;0;TPC-W
67;15;04/10/06;38;202;125;;;;;;0;TPC-W
68;15;04/10/07;86;168;75;;;;;;0;TPC-W
68;15;04/10/07;67;373;159;;;;;;0;TPC-W
69;15;04/10/08;45;142;56;;;;;;0;TPC-W
70;15;04/10/09;53;328;104;;;;;;0;TPC-W
71;27;18/07/06;100;352;118;;;;;;0;TPC-W
71;27;18/07/06;16;174;100;;;;;;0;TPC-W
72;33;07/02/07;21;163;96;;;;;;0;TPC-W
73;27;25/12/06;49;354;145;;;;;;0;TPC-W
74;38;15/07/09;79;378;138;;;;;;0;TPC-W
75;21;24/07/05;68;140;52;;;;;;0;TPC-W
76;38;15/07/07;62;307;57;;;;;;0;TPC-W
76;38;15/07/07;69;358;54;;;;;;0;TPC-W
77;38;15/07/06;21;245;132;;;;;;0;TPC-W
78;10;07/03/10;27;116;147;;;;;;0;TPC-W
79;25;25/09/05;88;258;36;;;;;;0;TPC-W
80;25;25/09/06;31;275;105;;;;;;0;TPC-W
81;25;25/09/07;91;152;119;;;;;;0;TPC-W
82;25;25/09/09;69;252;141;;;;;;0;TPC-W
83;7;05/10/05;30;301;40;;;;;;0;TPC-W
84;20;23/05/08;20;219;196;;;;;;0;TPC-W
85;33;24/05/10;12;379;145;;;;;;0;TPC-W
85;33;24/05/10;17;317;81;;;;;;0;TPC-W
86;29;05/12/05;103;168;25;;;;;;0;TPC-W
87;1;22/04/06;15;151;48;;;;;;0;TPC-W
88;36;11/01/06;22;215;140;;;;;;0;TPC-W
88;36;11/01/06;58;145;133;;;;;;0;TPC-W
89;36;11/01/05;99;337;172;;;;;;0;TPC-W
89;36;11/01/05;82;179;147;;;;;;0;TPC-W
90;8;27/03/08;100;109;181;;;;;;0;TPC-W
91;8;27/03/09;98;156;152;;;;;;0;TPC-W
92;40;15/05/06;33;297;67;;;;;;0;TPC-W
92;40;15/05/06;39;359;69;;;;;;0;TPC-W
92;40;15/05/06;59;311;47;;;;;;0;TPC-W
93;40;15/05/07;33;296;105;;;;;;0;TPC-W
93;40;15/05/07;17;173;148;;;;;;0;TPC-W
93;40;15/05/07;26;123;191;;;;;;1;TPC-W
94;40;15/05/08;62;171;107;;;;;;1;TPC-W
94;40;15/05/08;20;395;186;;;;;;1;TPC-W
95;40;15/05/09;96;344;50;;;;;;1;TPC-W
95;40;15/05/09;95;296;179;;;;;;1;TPC-W
96;8;27/03/06;8;371;108;;;;;;0;TPC-W
97;8;27/03/07;52;393;15;;;;;;0;TPC-W
97;8;27/03/07;78;192;99;;;;;;0;TPC-W
98;38;29/12/06;19;260;192;;;;;;0;TPC-W
98;38;29/12/06;28;384;192;;;;;;0;TPC-W
98;38;29/12/06;37;346;68;;;;;;0;TPC-W
99;13;15/09/06;93;310;181;;;;;;0;TPC-W
100;38;29/12/05;2;167;121;;;;;;0;TPC-W
101;34;04/05/09;8;347;193;;;;;;0;TPC-W
101;34;04/05/09;35;102;113;;;;;;0;TPC-W
102;10;26/04/05;84;193;65;;;;;;0;TPC-W
102;10;26/04/05;23;385;29;;;;;;0;TPC-W
103;10;26/04/06;74;139;78;;;;;;0;TPC-W
104;10;26/04/08;3;299;73;;;;;;0;TPC-W
104;10;26/04/08;51;332;31;;;;;;0;TPC-W
105;24;29/02/08;43;266;37;;;;;;0;TPC-W
106;12;23/07/10;93;319;32;;;;;;0;TPC-W
107;35;30/04/10;14;261;83;;;;;;0;TPC-W
107;35;30/04/10;34;383;104;;;;;;0;TPC-W
108;36;20/01/07;80;261;64;;;;;;0;TPC-W
109;38;16/04/07;50;289;134;;;;;;0;TPC-W
110;30;13/08/06;10;298;163;;;;;;0;TPC-W
111;30;13/08/07;84;197;95;;;;;;0;TPC-W
111;30;13/08/07;90;266;139;;;;;;0;TPC-W
112;15;01/01/06;51;390;61;;;;;;0;TPC-W
112;15;01/01/06;102;327;152;;;;;;0;TPC-W
112;15;01/01/06;7;111;94;;;;;;0;TPC-W
113;18;17/02/08;12;371;32;;;;;;0;TPC-W
113;18;17/02/08;55;253;140;;;;;;0;TPC-W
114;11;05/03/09;21;353;56;;;;;;0;TPC-W
114;11;05/03/09;2;246;163;;;;;;0;TPC-W
114;11;05/03/09;69;279;177;;;;;;0;TPC-W
115;11;05/03/08;36;309;24;;;;;;0;TPC-W
115;11;05/03/08;48;133;135;;;;;;0;TPC-W
116;11;05/03/06;56;148;98;;;;;;0;TPC-W
117;30;12/04/06;8;344;49;;;;;;0;TPC-W
117;30;12/04/06;29;294;41;;;;;;0;TPC-W
118;15;01/01/09;96;390;117;;;;;;0;TPC-W
119;15;01/01/08;42;148;24;;;;;;0;TPC-W
119;15;01/01/08;20;304;31;;;;;;0;TPC-W
120;17;29/06/10;86;332;198;;;;;;0;TPC-W
121;23;15/01/07;47;356;109;;;;;;0;TPC-W
