PRODID,ProductName,PRICE1,PRICE2,UNITCOST,SupplierName,ADDR1,ADDR2,CITY,STATE,ZIP,PRODTYPEID,TYPEDESCRIPTION,BUID,Name,Abbrev,Prod_SK,Version,Valid_From,Valid_To
56,Allis Polishing Equipment            ,201.8,176.3,160.5,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,3,Polishing Equipment,A,Processing Equipment,Equipment    ,1,1,2017-01-01,2099-01-01
72,Anthem Tray Supplies                 ,134.9,112.4,109,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,2,1,2017-01-01,2099-01-01
5,Automobiles Fillers                  ,283.8,227.6,218.5,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,3,1,2017-01-01,2099-01-01
24,Bandage Manufacturing Equipment      ,298,267,253.7,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,4,1,2017-01-01,2099-01-01
98,Barrels Flushing Chemicals           ,135.1,116.6,108.4,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,10,Flushing Chemicals ,C,Chemicals           ,Chemical     ,5,1,2017-01-01,2099-01-01
92,Behind Tray Supplies                 ,166.7,139,129.3,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,6,1,2017-01-01,2099-01-01
94,Beliefs Freezing Chemicals           ,566.6,483.9,454.9,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,7,1,2017-01-01,2099-01-01
93,Bellowing Polishing Equipment        ,502.6,451.3,446.8,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,3,Polishing Equipment,A,Processing Equipment,Equipment    ,8,1,2017-01-01,2099-01-01
64,Berwick Fillers                      ,583.9,487.5,463.1,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,9,1,2017-01-01,2099-01-01
44,Birthdays Manufacturing Equipment    ,196.6,173.2,161.1,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,10,1,2017-01-01,2099-01-01
43,Blazed Covers                        ,495,416.8,404.3,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,13,Covers             ,D,Miscellaneous       ,Miscellaneous,11,1,2017-01-01,2099-01-01
29,Bluest Fillers                       ,507.4,428.2,398.2,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,12,1,2017-01-01,2099-01-01
