Prod_SK,PRODID,ProductName,PRICE1,PRICE2,UNITCOST,SupplierName,ADDR1,ADDR2,CITY,STATE,ZIP,PRODTYPEID,TYPEDESCRIPTION,BUID,Name,Abbrev
41,1,Magneficient Polishing Equipment       ,200,142.5,135.4,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,3,Polishing Equipment,A,Processing Equipment,Equipment    
91,2,Tailor Jacks                         ,609.8,429.7,399.7,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,15,Jacks              ,D,Miscellaneous       ,Miscellaneous
82,3,Sortie Covers                        ,259.2,213.2,206.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,13,Covers             ,D,Miscellaneous       ,Miscellaneous
38,4,Embodying Cleaning Supplies          ,274.9,213.5,207.1,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     
3,5,Automobiles Fillers                  ,253.8,227.6,218.5,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,12,Fillers            ,D,Miscellaneous       ,Miscellaneous
68,6,Planetesimal Manufacturing Equipment ,377.3,307,285.5,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    
20,7,Commendation Fillers                 ,426.3,380,364.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,12,Fillers            ,D,Miscellaneous       ,Miscellaneous
76,8,Septembers Manufacturing Equipment   ,579.3,523,517.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,2,Manufacturing Equip,A,Processing Equipment,Equipment    
58,9,Millimeters Flushing Chemicals       ,395.6,251.8,241.8,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,10,Flushing Chemicals ,C,Chemicals           ,Chemical     
29,10,Defeated Tray Supplies               ,570.7,476.9,448.3,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     
89,11,Sulkiness Covers                     ,332.3,289.8,272.4,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,13,Covers             ,D,Miscellaneous       ,Miscellaneous
95,12,Travelings Photo Chemicals           ,267.4,242,225.1,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,9,Photo Chemicals    ,C,Chemicals           ,Chemical     
26,13,Coward Covers                        ,440.8,349,328.1,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,13,Covers             ,D,Miscellaneous       ,Miscellaneous
39,14,Engle Photo Chemicals                ,429.9,346.1,342.6,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,9,Photo Chemicals    ,C,Chemicals           ,Chemical     
34,15,Disposed Fillers                     ,148.8,138,132.5,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,12,Fillers            ,D,Miscellaneous       ,Miscellaneous
40,16,Enhanced Covers                      ,468,384.4,361.4,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,13,Covers             ,D,Miscellaneous       ,Miscellaneous
62,17,Optima Cleaning Supplies             ,276.4,255.5,242.8,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     
59,18,Miniaturizing Manufacturing Equipment,656.2,379.6,353,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,2,Manufacturing Equip,A,Processing Equipment,Equipment    
48,19,Hesitating Jacks                     ,164.5,100.1,96.1,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,15,Jacks              ,D,Miscellaneous       ,Miscellaneous
45,20,Flake Photo Equipment                ,241.3,204.4,194.2,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,1,Photo Equipment    ,A,Processing Equipment,Equipment    
31,21,Denigrating Polishing Equipment      ,526,454.5,427.2,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,3,Polishing Equipment,A,Processing Equipment,Equipment    
102,22,Whippers Covers                      ,468.6,410.4,389.9,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,13,Covers             ,D,Miscellaneous       ,Miscellaneous
