invoice,custID,prodID,salesDate,amt,qty,discounted
1,28,81,31-12-08,151,102,0
2,28,7,31-12-09,294,38,0
3,10,79,24-05-07,139,189,0
4,10,18,24-05-06,189,192,0
4,10,39,24-05-06,203,21,0
4,10,61,24-05-06,380,95,0
5,6,56,30-06-05,138,187,0
6,31,68,4/3/09,389,137,0
7,6,42,30-06-06,259,112,0
8,31,11,4/3/06,122,57,0
8,31,101,4/3/06,209,102,0
9,17,3,26-06-10,241,121,0
9,17,91,26-06-10,317,127,0
10,28,2,31-12-05,102,63,0
10,28,96,31-12-05,291,188,0
10,28,91,31-12-05,139,41,0
10,28,16,31-12-05,163,115,0
11,23,104,6/7/07,142,157,0
12,31,74,7/3/10,286,111,0
13,40,63,13-03-06,256,65,0
14,40,47,13-03-07,215,54,0
14,40,86,13-03-07,333,113,0
15,25,90,20-05-05,190,21,0
16,25,65,20-05-06,372,182,0
17,25,101,20-05-08,244,152,0
17,25,16,20-05-08,288,167,0
18,34,1,13-05-10,323,117,0
18,34,17,13-05-10,311,42,0
19,36,36,20-01-09,220,126,1
20,36,34,20-01-08,212,21,1
20,36,65,20-01-08,157,52,0
21,19,29,27-02-09,337,17,0
21,19,46,27-02-09,226,191,0
21,19,77,27-02-09,127,10,0
22,20,40,19-09-09,161,145,1
22,20,13,19-09-09,318,71,1
23,4,56,15-05-05,168,195,0
23,4,23,15-05-05,219,187,0
24,-36,87,20-01-05,240,35,0
25,25,7,5/9/10,317,17,0
25,25,54,5/9/10,301,23,0
25,25,17,5/9/10,139,200,0
26,19,90,29-10-10,285,139,0
26,19,29,29-10-10,194,173,0
26,19,52,29-10-10,328,29,0
27,36,64,20-01-06,190,157,0
28,24,105,9/7/07,200,152,0
29,36,36,23-05-05,331,196,0
30,21,104,18-10-07,349,110,0
30,21,94,18-10-07,319,35,0
31,21,46,18-10-05,144,112,1
32,20,5,19-04-09,384,14,0
33,21,72,18-10-08,113,156,0
34,21,9,18-10-09,392,177,0
34,21,18,18-10-09,183,106,0
35,20,104,19-04-08,367,176,0
36,33,35,2/7/08,266,178,0
37,24,7,17-02-10,180,179,0
37,24,4,17-02-10,148,156,0
38,12,71,25-01-10,172,154,0
38,12,29,25-01-10,329,57,0
38,12,34,25-01-10,136,69,0
39,9,59,3/1/10,341,85,0
40,8,66,3/7/10,323,49,0
40,8,69,3/7/10,267,81,0
41,18,35,14-11-05,222,191,1
41,18,97,14-11-05,225,63,1
42,8,18,26-12-06,112,200,0
43,18,18,14-11-07,319,165,0
43,18,73,14-11-07,178,147,0
44,10,24,24-05-08,350,101,0
44,10,69,24-05-08,213,94,0
45,11,93,19-08-05,344,61,0
